"SUBJECT","ROUND","SURVEY_DAY","RESPONDER","SEASON","CONSUMPTION_DAY","CONSUMPTION_MONTH","CONSUMPTION_YEAR","WEEK_DAY","EXCEPTION_DAY","CONSUMPTION_TIME_HOUR","CONSUMPTION_TIME_MINUTES","MEAL_NAME","PLACE","FOOD_TYPE","RECIPE_CODE","RECIPE_DESCR","RECIPE_DESCR_ENG","FOODEX2_RECIPE_CODE","FOODEX2_RECIPE_DESCR","AMOUNT_RECIPE","CODE_INGREDIENT","INGREDIENT","INGREDIENT_ENG","FOODEX2_INGR_CODE","FOODEX2_INGR_DESCR","FOOD_AMOUNT_UNPROC","FOOD_AMOUNT_CONS","FOOD_AMOUNT_REPORTED","ENERGY_kcal","WATER_g","PROTEIN_g","A_PROT_g","V_PROT_g","CARBOH_g","SUGAR_g","FIBTG_g","ALCOHOL_g","FAT_g","SAT_FAT_g","MUFA_g","PUFA_g","TFA_g","CHOL_mg","CALC_mg","IRON_mg","ZINC_mg","MG_mg","PHOS_mg","POTA_mg","NA_mg","CU_mg","IOD_mcg","SE_mcg","MN_mg","VITC_mg","THIA_mg","RIBO_mg","NIAC_mg","VITB5_mg","VITB6_mg","FOLDFE_mcg","FOL_mcg","FOLFD_mcg","FOLFRE_mcg","FOLAC_mcg","VITB12_mcg","VITA_RAE_mcg","VITA_RE_mcg","BCAROT_mcg","RETOL_mcg","VITD_mcg","VITE_mg","VITK_mcg","PHY_mg","VERSION"
1,1,1,,,,,,,,,,,,,,,,,,,818031,,"* AMARANTH LEAVES,FRESH,RAW *BOILED*","A00ML#F10.A166Y$F28.A07HS$F28.A07GL","Amaranth leaves,  QUAL=Fresh,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,1,1,0,,0,,,0,,,,0,,,,,,2,0.02,0.01,,,,,,,,,0.31,0,0,0.01,,0,1,,,,,0,1,,,,,,,,"05 April 2023"
1,1,1,,,,,,,,,,,,,,,,,,,806121,,"* BEAN,WHOLE SEED,KIDNEY (ALL TYPES),FRESH,RAW *BOILED*","A0BAL#F03.A06HY$F28.A07HS$F28.A07GL","Kidney bean (dry seeds),  STATE=Whole/unsplit form, including artificial forms,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,103.4,103.4,94,,6.7,,,16.9,,,,0.2,,,,,,36,1.97,0.7,,,,,,,,,0.89,0.09,0.05,0.4,,0.08,56,,,,,0,0,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,818091,,"* COCO YAM LEAVES,FRESH,RAW *BOILED*","A00NV#F10.A166Y$F28.A07HS$F28.A07GL","Taro leaves,  QUAL=Fresh,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,2.3,2.3,1,,0.1,,,0.2,,,,0,,,,,,3,0.05,0.01,,,,,,,,,0.85,0,0.01,0.03,,0,2,,,,,0,5,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,818071,,"* COWPEA LEAVES,FRESH,RAW *BOILED*","A0DKA#F28.A07GL","Black eyed peas leaves, PROCESS=Boiling",,0.9,0.9,0,,0,,,0,,,,0,,,,,,1,0.02,0,,,,,,,,,0.23,0,0,0.01,,0,1,,,,,0,0,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,829021,,"* EGGPLANT,LARGE & LONG,RAW *BOILED*","A00JD#F28.A07HS$F28.A07GL","Aubergines,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,65.7,65.7,16,,0.7,,,3.7,,,,0.1,,,,,,6,0.16,0.11,,,,,,,,,1.23,0.03,0.03,0.41,,0.05,12,,,,,0,1,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,808007,,"* GROUNDNUTS,ALL TYPES,GROUND (POWDERED),RAW *BOILED*","A015H#F03.A06JD$F28.A07HS$F28.A07GL","Peanuts,  STATE=Powder,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,7.8,7.8,44,,2,,,1.3,,,,3.8,,,,,,7,0.36,0.25,,,,,,,,,0,0.04,0.01,0.89,,0.03,15,,,,,0,0,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,801041,,"* MAIZE FLOUR,FM WHITE GRAIN,REFINED,RAW *BOILED*","A002Q#F20.A07QZ$F28.A07GL","Maize flour, HOW=W/o husks, PROCESS=Boiling",,161.2,161.2,595,,11.7,,,127.6,,,,2.9,,,,,,5,1.77,1.14,,,,,,,,,0,0.15,0.08,1.31,,0.26,24,,,,,0,0,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,809001,,"* MILK,COW,FRESH,WHOLE RAW *BOILED*","A02LY#F28.A07GL","Cow milk, whole, PROCESS=Boiling",,525.1,525.1,315,,16.9,,,23.7,,,,17.1,,,,,,593,0.16,2.1,,,,,,,,,0,0.16,0.95,0.58,,0.16,21,,,,,1.26,147,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,829052,,"* ONION,LARGE TYPE,FRESH,RAW *BOILED*","A00HC#F28.A07GL$F10.A166Y$F10.A16YB","Onions, PROCESS = Boiling, QUALITATIVE-INFO = Fresh, QUALITATIVE-INFO = Large/big",,2.1,2.1,1,,0,,,0.2,,,,0,,,,,,0,0,0,,,,,,,,,0.13,0,0,0,,0,0,,,,,0,0,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,829180,,"* PEPPER,SWEET (PIMENTO),FRESH,GREEN *BOILED*","A00JA#F10.A166Y$F10.A0F2Q$F28.A07GL","Sweet peppers,  QUAL=Fresh,  QUAL=Green,  PROCESS=Boiling",,7.2,7.2,1,,0.1,,,0.3,,,,0,,,,,,1,0.02,0.01,,,,,,,,,4.9,0,0,0.03,,0.01,1,,,,,0,1,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,818051,,"* PUMPKIN LEAVES,FRESH,RAW *BOILED*","A16QL#F10.A166Y$F28.A07HS$F28.A07GL","Pumpkin leaves,  QUAL=Fresh,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,0.8,0.8,0,,0,,,0,,,,0,,,,,,0,0.02,0,,,,,,,,,0.06,0,0,0.01,,0,0,,,,,0,1,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,26002,,"SUGAR,GRANULATED,ALL GRADES","A032H","Sucrose (common sugar)",,13.4,13.4,52,,0,,,13.4,,,,0,,,,,,0,0,0,,,,,,,,,0,0,0,0,,0,0,,,,,0,0,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,26002,,"SUGAR,GRANULATED,ALL GRADES","A032H","Sucrose (common sugar)",,38.5,38.5,149,,0,,,38.5,,,,0,,,,,,0,0,0,,,,,,,,,0,0,0.01,0,,0,0,,,,,0,0,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,3010,,"SWEET POTATO,WHITE FLESH,FRESH,STEAMED","A010C#F28.A07GP$F10.A0F2R","Sweet potatoes, PROCESS = Steaming, QUALITATIVE-INFO = White",,451.6,451.6,592,,10.8,,,138.6,,,,0.4,,,,,,196,3.97,1.99,,,,,,,,,12.42,0.45,0.41,3.66,,1.35,68,,,,,0,0,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,4010,,"SWEET POTATO,YELLOW FLESH,FRESH,STEAMED","A010C#F28.A07GP$F10.A0F5H","Sweet potatoes, PROCESS = Steaming, QUALITATIVE-INFO = Yellow",,216.1,216.1,296,,5.4,,,69.2,,,,0.2,,,,,,98,1.99,0.99,,,,,,,,,6.2,0.22,0.22,1.84,,0.67,34,,,,,0,459,,,,,,,,""
1,1,1,,,,,,,,,,,,,,,,,,,725004,,"Vegetable oil,Mukwano,Vitamin A fortified, cooked","A036N#F09.A0EXZ","Vegetable fats and oils, edible, FORT=Vitamin A(retinol, carotenoids)",,4.3,4.3,38,,0,,,0,,,,4.3,,,,,,0,0,0,,,,,,,,,0,0,0,0,,0,0,,,,,0,75,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,806110,,"* BEAN,WHOLE SEED,CRANBERRY (KANYEBWA),DRIED,BOILED *BOILED*","A012T#F03.A06HY$F28.A07GL","Borlotti or other common beans (dry),  STATE=Whole/unsplit form, including artificial forms,  PROCESS=Boiling",,98.5,98.5,134,,9.2,,,24.1,,,,0.5,,,,,,44,1.75,1.01,,,,,,,,,0,0.14,0.05,0.35,,0.06,102,,,,,0,0,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,806109,,"* BEAN,WHOLE SEED,CRANBERRY (KANYEBWA),DRIED,RAW *BOILED*","A012T#F03.A06HY$F28.A07HS$F28.A07GL","Borlotti or other common beans (dry),  STATE=Whole/unsplit form, including artificial forms,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,21.9,21.9,73,,5,,,13.1,,,,0.3,,,,,,25,0.88,0.72,,,,,,,,,0,0.07,0.04,0.19,,0.04,46,,,,,0,0,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,829037,,"* EGGPLANT,LARGE & SHORT,STEAMED *BOILED*","A00JD#F28.A07GP$F28.A07GL","Aubergines,  PROCESS=Steaming,  PROCESS=Boiling",,61.3,61.3,24,,1,,,5.7,,,,0.2,,,,,,9,0.24,0.16,,,,,,,,,1.6,0.03,0.04,0.59,,0.07,16,,,,,0,1,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,801041,,"* MAIZE FLOUR,FM WHITE GRAIN,REFINED,RAW *BOILED*","A002Q#F20.A07QZ$F28.A07GL","Maize flour, HOW=W/o husks, PROCESS=Boiling",,30.3,30.3,112,,2.2,,,24,,,,0.5,,,,,,1,0.33,0.21,,,,,,,,,0,0.03,0.02,0.25,,0.05,4,,,,,0,0,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,809001,,"* MILK,COW,FRESH,WHOLE RAW *BOILED*","A02LY#F28.A07GL","Cow milk, whole, PROCESS=Boiling",,288,288,173,,9.3,,,13,,,,9.4,,,,,,325,0.09,1.15,,,,,,,,,0,0.09,0.52,0.32,,0.09,12,,,,,0.69,81,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,829052,,"* ONION,LARGE TYPE,FRESH,RAW *BOILED*","A00HC#F28.A07GL$F10.A166Y$F10.A16YB","Onions, PROCESS = Boiling, QUALITATIVE-INFO = Fresh, QUALITATIVE-INFO = Large/big",,3.4,3.4,1,,0,,,0.3,,,,0,,,,,,1,0.01,0.01,,,,,,,,,0.21,0,0,0,,0,1,,,,,0,0,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,829180,,"* PEPPER,SWEET (PIMENTO),FRESH,GREEN *BOILED*","A00JA#F10.A166Y$F10.A0F2Q$F28.A07GL","Sweet peppers,  QUAL=Fresh,  QUAL=Green,  PROCESS=Boiling",,15.1,15.1,3,,0.1,,,0.7,,,,0,,,,,,2,0.05,0.02,,,,,,,,,10.32,0.01,0,0.07,,0.03,1,,,,,0,3,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,829063,,"* TOMATO,FRESH,RIPE,RAW *BOILED*","A0DMX#F10.A07XL$F28.A07GL","Tomatoes, INFO=Ripe / mature, PROCESS=Boiling",,19.9,19.9,4,,0.2,,,0.8,,,,0,,,,,,2,0.05,0.03,,,,,,,,,2.14,0.01,0,0.11,,0.01,3,,,,,0,8,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,5003,,"BANANA,MATOOKE,GREEN & FRESH,STEAMED","A0DQJ#F10.A07XM$F10.A166Y$F28.A07GP","Plantains - acuminata cultivars,  QUAL=Unripe / immature,  QUAL=Fresh,  PROCESS=Steaming",,157.2,157.2,211,,2.2,,,55.1,,,,0.6,,,,,,5,1.04,0.24,,,,,,,,,23.86,0.08,0.08,1.13,,0.49,30,,,,,0,87,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,30091,,"JACKFRUIT,RIPE,FRESH,RAW","A01LR#F10.A07XL","Jackfruits, INFO=Ripe / mature",,210.7,210.7,198,,3.1,,,50.6,,,,0.6,,,,,,72,1.26,0.88,,,,,,,,,14.12,0.06,0.23,0.84,,0.23,29,,,,,0,32,,,,,,,,""
